popularity,budget,revenue,original_title,runtime,vote_average,genre
32.985763,150000000.0,1513528810.0,Jurassic World,124.0,6.5,Action
28.419936,150000000.0,378436354.0,Mad Max: Fury Road,120.0,7.1,Action
13.112507,110000000.0,295238201.0,Insurgent,119.0,6.3,Adventure
11.173104,200000000.0,2068178225.0,Star Wars: The Force Awakens,136.0,7.5,Action
9.335014,190000000.0,1506249360.0,Furious 7,137.0,7.3,Action
9.1107,135000000.0,532950503.0,The Revenant,156.0,7.2,Western
8.654359,155000000.0,440603537.0,Terminator Genisys,125.0,5.8,Science Fiction
7.6674,108000000.0,595380321.0,The Martian,141.0,7.6,Drama
7.40416499999999,74000000.0,1156730962.0,Minions,91.0,6.5,Family
6.326804,175000000.0,853708609.0,Inside Out,94.0,8.0,Comedy
6.200282,245000000.0,880674609.0,Spectre,148.0,6.2,Action
6.189369,176000003.0,183987723.0,Jupiter Ascending,124.0,5.2,Science Fiction
6.118847,15000000.0,36869414.0,Ex Machina,108.0,7.6,Drama
5.984995,88000000.0,243637091.0,Pixels,105.0,5.8,Action
5.944927,280000000.0,1405035767.0,Avengers: Age of Ultron,141.0,7.4,Action
5.8984,44000000.0,155760117.0,The Hateful Eight,167.0,7.4,Crime
5.749758,48000000.0,325771424.0,Taken 3,109.0,6.1,Crime
5.573184,130000000.0,518602163.0,Ant-Man,115.0,7.0,Science Fiction
5.556818,95000000.0,542351353.0,Cinderella,112.0,6.8,Romance
5.476958,160000000.0,650523427.0,The Hunger Games: Mockingjay - Part 2,136.0,6.5,War
5.462138,190000000.0,209035668.0,Tomorrowland,130.0,6.2,Action
5.337064,30000000.0,91709827.0,Southpaw,123.0,7.3,Action
4.907832,110000000.0,470490832.0,San Andreas,114.0,6.1,Action
4.71040199999999,40000000.0,569651467.0,Fifty Shades of Grey,125.0,5.3,Drama
4.648046,28000000.0,133346506.0,The Big Short,130.0,7.3,Comedy
4.566713,150000000.0,682330139.0,Mission: Impossible - Rogue Nation,131.0,7.1,Action
4.564549,68000000.0,215863606.0,Ted 2,115.0,6.3,Comedy
4.503789,81000000.0,403802136.0,Kingsman: The Secret Service,130.0,7.6,Crime
4.062293,20000000.0,88346473.0,Spotlight,128.0,7.8,Drama
3.968891,61000000.0,311256926.0,Maze Runner: The Scorch Trials,132.0,6.4,Action
3.927333,,29355203.0,Mr. Holmes,103.0,6.4,Mystery
3.899557,49000000.0,102069268.0,Chappie,120.0,6.6,Crime
3.877764,29000000.0,287506194.0,Pitch Perfect 2,115.0,6.8,Comedy
3.64821,40000000.0,162610473.0,Bridge of Spies,141.0,7.1,Thriller
3.644541,58000000.0,150170815.0,Goosebumps,103.0,6.2,Adventure
3.557846,6000000.0,35401758.0,Room,117.0,8.0,Drama
3.358321,,22354572.0,Solace,101.0,6.2,Crime
3.339135,175000000.0,331926147.0,The Good Dinosaur,93.0,6.6,Adventure
3.23737,50000000.0,71561644.0,Run All Night,114.0,6.3,Action
3.227329,11000000.0,62076141.0,Brooklyn,111.0,7.3,Drama
3.202719,28000000.0,201634991.0,Straight Outta Compton,147.0,7.7,Drama
3.080505,90000000.0,140396650.0,The Last Witch Hunter,106.0,5.6,Fantasy
3.079522,30000000.0,34441873.0,Steve Jobs,122.0,6.9,History
3.053421,75000000.0,108145109.0,The Man from U.N.C.L.E.,116.0,7.0,Comedy
3.025852,25000000.0,42629776.0,The Age of Adaline,112.0,7.3,Fantasy
3.023253,10000000.0,14333790.0,Hardcore Henry,97.0,5.9,Action
2.976436,135000000.0,368871007.0,Home,94.0,6.9,Fantasy
2.968254,12000000.0,85512300.0,Paper Towns,109.0,6.2,Drama
2.93234,30000000.0,,Wild Card,92.0,5.3,Thriller
2.885126,4000000.0,9064511.0,The Lobster,118.0,6.6,Thriller
2.883233,11800000.0,40272135.0,Carol,118.0,7.1,Romance
2.814802,35000000.0,194564672.0,The Intern,121.0,7.1,Comedy
2.798017,55000000.0,203427584.0,Everest,121.0,6.7,Adventure
2.793297,60000000.0,101134059.0,Joy,124.0,6.4,Comedy
2.614499,105000000.0,133718711.0,Point Break,114.0,5.5,Action
2.584264,20000000.0,36606743.0,Burnt,100.0,6.3,Drama
2.578919,26000000.0,30523226.0,Self/less,116.0,6.2,Science Fiction
2.575711,60000000.0,30418560.0,Mortdecai,106.0,5.3,Comedy
2.557859,15000000.0,64191523.0,The Danish Girl,120.0,7.3,Drama
2.550747,70000000.0,17752940.0,Blackhat,133.0,5.0,Mystery
2.487849,30000000.0,84025816.0,Sicario,121.0,7.1,Action
2.487042,120000001.0,167977596.0,Fantastic Four,100.0,4.4,Action
2.46449,3500000.0,40423945.0,The Witch,92.0,5.8,Mystery
2.404473,65000000.0,235666219.0,Spy,120.0,6.9,Action
2.395366,50100000.0,153962963.0,Focus,105.0,6.7,Romance
2.354654,35000000.0,82347656.0,Hitman: Agent 47,96.0,5.5,Action
2.345821,100000000.0,93820758.0,In the Heart of the Sea,122.0,6.4,Thriller
2.331636,20000000.0,,Survivor,96.0,5.4,Crime
2.331567,35000000.0,137935567.0,Creed,133.0,7.3,Drama
2.31767,35000000.0,140795793.0,Trainwreck,125.0,6.1,Comedy
2.29573,13000000.0,32848185.0,Eye in the Sky,102.0,7.2,Drama
